scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,23,226.17391304347825,220.0,33.07794125438369,205.5,226.0,284.8,185,315
S1,P2,126,202.20634920634922,199.0,20.076381132193116,191.0,206.75,221.5,173,343
S1,P3,222,308.27027027027026,283.0,130.43952472269044,226.25,309.5,446.70000000000005,180,940
S2,P1,156,211.47435897435898,202.0,36.73206364453861,195.0,218.25,241.0,161,503
S2,P2,59,198.23728813559322,197.0,10.75645593321205,193.5,203.0,206.4,166,244
S2,P3,20,234.25,220.0,57.38409370658664,208.75,233.5,257.40000000000003,195,464
S3,P1,36,201.19444444444446,199.0,12.589835910525926,192.0,209.0,218.0,166,226
S3,P2,70,197.02857142857144,193.5,10.562404519518964,191.0,200.0,210.0,176,250
S3,P3,493,322.2231237322515,293.0,124.75228671828815,268.0,328.0,418.6,176,982
S4,P1,259,201.48648648648648,198.0,15.458710033568407,193.0,205.0,218.20000000000002,164,324
S4,P2,103,198.03883495145632,195.0,11.504408643524343,191.5,201.0,207.0,169,262
S4,P3,22,223.1818181818182,207.0,50.4726577216732,199.0,231.0,247.00000000000003,185,416
